"Time","Arsenal"
"2004-01-01",7
"2004-02-01",8
"2004-03-01",9
"2004-04-01",10
"2004-05-01",8
"2004-06-01",5
"2004-07-01",8
"2004-08-01",10
"2004-09-01",7
"2004-10-01",9
"2004-11-01",8
"2004-12-01",9
"2005-01-01",8
"2005-02-01",9
"2005-03-01",7
"2005-04-01",7
"2005-05-01",8
"2005-06-01",7
"2005-07-01",9
"2005-08-01",9
"2005-09-01",7
"2005-10-01",7
"2005-11-01",8
"2005-12-01",8
"2006-01-01",9
"2006-02-01",9
"2006-03-01",11
"2006-04-01",15
"2006-05-01",18
"2006-06-01",8
"2006-07-01",12
"2006-08-01",13
"2006-09-01",12
"2006-10-01",9
"2006-11-01",10
"2006-12-01",10
"2007-01-01",12
"2007-02-01",11
"2007-03-01",9
"2007-04-01",8
"2007-05-01",8
"2007-06-01",11
"2007-07-01",13
"2007-08-01",12
"2007-09-01",12
"2007-10-01",11
"2007-11-01",11
"2007-12-01",13
"2008-01-01",12
"2008-02-01",14
"2008-03-01",11
"2008-04-01",12
"2008-05-01",11
"2008-06-01",11
"2008-07-01",13
"2008-08-01",14
"2008-09-01",12
"2008-10-01",11
"2008-11-01",13
"2008-12-01",10
"2009-01-01",11
"2009-02-01",12
"2009-03-01",12
"2009-04-01",17
"2009-05-01",15
"2009-06-01",9
"2009-07-01",12
"2009-08-01",17
"2009-09-01",12
"2009-10-01",11
"2009-11-01",11
"2009-12-01",12
"2010-01-01",14
"2010-02-01",13
"2010-03-01",15
"2010-04-01",18
"2010-05-01",10
"2010-06-01",10
"2010-07-01",15
"2010-08-01",19
"2010-09-01",14
"2010-10-01",14
"2010-11-01",13
"2010-12-01",19
"2011-01-01",17
"2011-02-01",23
"2011-03-01",20
"2011-04-01",14
"2011-05-01",13
"2011-06-01",14
"2011-07-01",17
"2011-08-01",31
"2011-09-01",18
"2011-10-01",16
"2011-11-01",15
"2011-12-01",15
"2012-01-01",19
"2012-02-01",17
"2012-03-01",19
"2012-04-01",15
"2012-05-01",15
"2012-06-01",14
"2012-07-01",19
"2012-08-01",28
"2012-09-01",20
"2012-10-01",17
"2012-11-01",18
"2012-12-01",19
"2013-01-01",25
"2013-02-01",18
"2013-03-01",16
"2013-04-01",16
"2013-05-01",18
"2013-06-01",23
"2013-07-01",30
"2013-08-01",38
"2013-09-01",30
"2013-10-01",24
"2013-11-01",23
"2013-12-01",26
"2014-01-01",29
"2014-02-01",28
"2014-03-01",23
"2014-04-01",19
"2014-05-01",20
"2014-06-01",19
"2014-07-01",39
"2014-08-01",44
"2014-09-01",27
"2014-10-01",21
"2014-11-01",20
"2014-12-01",22
"2015-01-01",28
"2015-02-01",23
"2015-03-01",23
"2015-04-01",24
"2015-05-01",23
"2015-06-01",22
"2015-07-01",29
"2015-08-01",38
"2015-09-01",23
"2015-10-01",24
"2015-11-01",19
"2015-12-01",25
"2016-01-01",30
"2016-02-01",34
"2016-03-01",24
"2016-04-01",17
"2016-05-01",19
"2016-06-01",22
"2016-07-01",28
"2016-08-01",39
"2016-09-01",25
"2016-10-01",19
"2016-11-01",22
"2016-12-01",20
"2017-01-01",20
"2017-02-01",21
"2017-03-01",19
"2017-04-01",24
"2017-05-01",25
"2017-06-01",23
"2017-07-01",35
"2017-08-01",36
"2017-09-01",22
"2017-10-01",17
"2017-11-01",18
"2017-12-01",23
"2018-01-01",39
"2018-02-01",25
"2018-03-01",22
"2018-04-01",25
"2018-05-01",25
"2018-06-01",20
"2018-07-01",24
"2018-08-01",25
"2018-09-01",17
"2018-10-01",18
"2018-11-01",18
"2018-12-01",28
"2019-01-01",27
"2019-02-01",18
"2019-03-01",21
"2019-04-01",24
"2019-05-01",28
"2019-06-01",15
"2019-07-01",27
"2019-08-01",31
"2019-09-01",22
"2019-10-01",25
"2019-11-01",23
"2019-12-01",32
"2020-01-01",32
"2020-02-01",21
"2020-03-01",13
"2020-04-01",7
"2020-05-01",9
"2020-06-01",18
"2020-07-01",31
"2020-08-01",35
"2020-09-01",33
"2020-10-01",30
"2020-11-01",20
"2020-12-01",30
"2021-01-01",29
"2021-02-01",26
"2021-03-01",20
"2021-04-01",23
"2021-05-01",24
"2021-06-01",14
"2021-07-01",22
"2021-08-01",40
"2021-09-01",21
"2021-10-01",21
"2021-11-01",18
"2021-12-01",31
"2022-01-01",31
"2022-02-01",17
"2022-03-01",18
"2022-04-01",25
"2022-05-01",23
"2022-06-01",17
"2022-07-01",31
"2022-08-01",36
"2022-09-01",30
"2022-10-01",44
"2022-11-01",21
"2022-12-01",22
"2023-01-01",49
"2023-02-01",42
"2023-03-01",38
"2023-04-01",46
"2023-05-01",31
"2023-06-01",17
"2023-07-01",30
"2023-08-01",36
"2023-09-01",34
"2023-10-01",31
"2023-11-01",25
"2023-12-01",40
"2024-01-01",24
"2024-02-01",34
"2024-03-01",37
"2024-04-01",64
"2024-05-01",32
"2024-06-01",10
"2024-07-01",19
"2024-08-01",34
"2024-09-01",38
"2024-10-01",32
"2024-11-01",31
"2024-12-01",36
"2025-01-01",49
"2025-02-01",35
"2025-03-01",30
"2025-04-01",100
"2025-05-01",52
"2025-06-01",14
"2025-07-01",32
"2025-08-01",43
"2025-09-01",37
"2025-10-01",34
"2025-11-01",49
"2025-12-01",53
"2026-01-01",69
"2026-02-01",57
"2026-03-01",73